date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:11:20	8301/8301	---M--	200	added ('OK')	image/png	etag:%22206d-52e51f01eb62f%22	http://dance-studio.cmsmasters.net/wp-content/uploads/2016/03/logo-retina1.png	E:/users/MKURUGENZI%201/Documents/projects/balasi/balasi_dance/dance-studio.cmsmasters.net/wp-content/uploads/2016/03/logo-retina1.png	(from http://dance-studio.cmsmasters.net/)
23:11:23	83250/83250	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Aug%202016%2020:11:27%20GMT	http://dance-studio.cmsmasters.net/about/	E:/users/MKURUGENZI%201/Documents/projects/balasi/balasi_dance/dance-studio.cmsmasters.net/about/index.html	(from http://dance-studio.cmsmasters.net/)
23:11:23	55558/55558	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Aug%202016%2020:11:28%20GMT	http://dance-studio.cmsmasters.net/registration/	E:/users/MKURUGENZI%201/Documents/projects/balasi/balasi_dance/dance-studio.cmsmasters.net/registration/index.html	(from http://dance-studio.cmsmasters.net/)
23:11:26	110249/110249	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Aug%202016%2020:11:29%20GMT	http://dance-studio.cmsmasters.net/standard/	E:/users/MKURUGENZI%201/Documents/projects/balasi/balasi_dance/dance-studio.cmsmasters.net/standard/index.html	(from http://dance-studio.cmsmasters.net/)
23:11:28	80874/80874	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Aug%202016%2020:11:33%20GMT	http://dance-studio.cmsmasters.net/timeline/	E:/users/MKURUGENZI%201/Documents/projects/balasi/balasi_dance/dance-studio.cmsmasters.net/timeline/index.html	(from http://dance-studio.cmsmasters.net/)
23:11:37	122699/122699	---M--	200	added ('OK')	image/jpeg	etag:%221df4b-52d9eb5ddb89c%22	http://dance-studio.cmsmasters.net/wp-content/uploads/2015/04/heading-image-1.jpg	E:/users/MKURUGENZI%201/Documents/projects/balasi/balasi_dance/dance-studio.cmsmasters.net/wp-content/uploads/2015/04/heading-image-1.jpg	(from http://dance-studio.cmsmasters.net/)
23:11:39	73400/73400	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Aug%202016%2020:11:44%20GMT	http://dance-studio.cmsmasters.net/columns/	E:/users/MKURUGENZI%201/Documents/projects/balasi/balasi_dance/dance-studio.cmsmasters.net/columns/index.html	(from http://dance-studio.cmsmasters.net/)
23:11:44	131889/131889	---M--	200	added ('OK')	image/jpeg	etag:%2220331-52eb8a90f7b20%22	http://dance-studio.cmsmasters.net/wp-content/uploads/2016/03/2015-03-04-ballet-poster.jpg	E:/users/MKURUGENZI%201/Documents/projects/balasi/balasi_dance/dance-studio.cmsmasters.net/wp-content/uploads/2016/03/2015-03-04-ballet-poster.jpg	(from http://dance-studio.cmsmasters.net/)
23:11:46	57030/57030	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Aug%202016%2020:11:51%20GMT	http://dance-studio.cmsmasters.net/gallery-2/	E:/users/MKURUGENZI%201/Documents/projects/balasi/balasi_dance/dance-studio.cmsmasters.net/gallery-2/index.html	(from http://dance-studio.cmsmasters.net/)
23:11:56	214884/214884	---M--	200	added ('OK')	image/jpeg	etag:%2234764-52e52e0996f23%22	http://dance-studio.cmsmasters.net/wp-content/uploads/2015/04/backgr.jpg	E:/users/MKURUGENZI%201/Documents/projects/balasi/balasi_dance/dance-studio.cmsmasters.net/wp-content/uploads/2015/04/backgr.jpg	(from http://dance-studio.cmsmasters.net/)
23:12:06	320037/320037	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Aug%202016%2020:12:06%20GMT	http://dance-studio.cmsmasters.net/events/	E:/users/MKURUGENZI%201/Documents/projects/balasi/balasi_dance/dance-studio.cmsmasters.net/events/index.html	(from http://dance-studio.cmsmasters.net/)
23:12:09	9012/9012	---M--	200	added ('OK')	image/png	etag:%222334-52eb8e94ccdc2%22	http://dance-studio.cmsmasters.net/wp-content/uploads/2016/03/bg-hover.png	E:/users/MKURUGENZI%201/Documents/projects/balasi/balasi_dance/dance-studio.cmsmasters.net/wp-content/uploads/2016/03/bg-hover.png	(from http://dance-studio.cmsmasters.net/)
23:12:11	61825/61825	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Aug%202016%2020:12:16%20GMT	http://dance-studio.cmsmasters.net/contact/	E:/users/MKURUGENZI%201/Documents/projects/balasi/balasi_dance/dance-studio.cmsmasters.net/contact/index.html	(from http://dance-studio.cmsmasters.net/)
23:12:18	41795/41795	---M--	200	added ('OK')	image/jpeg	etag:%22a343-52e5260e0369f%22	http://dance-studio.cmsmasters.net/wp-content/uploads/2015/04/1.jpg	E:/users/MKURUGENZI%201/Documents/projects/balasi/balasi_dance/dance-studio.cmsmasters.net/wp-content/uploads/2015/04/1.jpg	(from http://dance-studio.cmsmasters.net/)
23:12:26	85843/85843	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Aug%202016%2020:12:27%20GMT	http://dance-studio.cmsmasters.net/shop/	E:/users/MKURUGENZI%201/Documents/projects/balasi/balasi_dance/dance-studio.cmsmasters.net/shop/index.html	(from http://dance-studio.cmsmasters.net/)
23:14:42	72593/72593	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Aug%202016%2020:14:47%20GMT	http://dance-studio.cmsmasters.net/classes/	E:/users/MKURUGENZI%201/Documents/projects/balasi/balasi_dance/dance-studio.cmsmasters.net/classes/index.html	(from http://dance-studio.cmsmasters.net/)
23:14:49	46504/46504	---M--	200	added ('OK')	image/jpeg	etag:%22b5a8-52e52610a2920%22	http://dance-studio.cmsmasters.net/wp-content/uploads/2015/04/3.jpg	E:/users/MKURUGENZI%201/Documents/projects/balasi/balasi_dance/dance-studio.cmsmasters.net/wp-content/uploads/2015/04/3.jpg	(from http://dance-studio.cmsmasters.net/)
23:14:52	129305/129305	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Aug%202016%2020:14:56%20GMT	http://dance-studio.cmsmasters.net/schedule/	E:/users/MKURUGENZI%201/Documents/projects/balasi/balasi_dance/dance-studio.cmsmasters.net/schedule/index.html	(from http://dance-studio.cmsmasters.net/)
23:14:56	23684/23684	---M--	200	added ('OK')	image/jpeg	etag:%225c84-530d5c6e16766%22	http://dance-studio.cmsmasters.net/wp-content/uploads/2015/05/Depositphotos_14921931_original-400x400.jpg	E:/users/MKURUGENZI%201/Documents/projects/balasi/balasi_dance/dance-studio.cmsmasters.net/wp-content/uploads/2015/05/Depositphotos_14921931_original-400x400.jpg	(from http://dance-studio.cmsmasters.net/)
23:14:58	74130/74130	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Aug%202016%2020:15:03%20GMT	http://dance-studio.cmsmasters.net/blog-shortcode/	E:/users/MKURUGENZI%201/Documents/projects/balasi/balasi_dance/dance-studio.cmsmasters.net/blog-shortcode/index.html	(from http://dance-studio.cmsmasters.net/)
23:15:04	33468/33468	---M--	200	added ('OK')	image/jpeg	etag:%2282bc-530d5c712c463%22	http://dance-studio.cmsmasters.net/wp-content/uploads/2015/04/Depositphotos_69249183_original-400x400.jpg	E:/users/MKURUGENZI%201/Documents/projects/balasi/balasi_dance/dance-studio.cmsmasters.net/wp-content/uploads/2015/04/Depositphotos_69249183_original-400x400.jpg	(from http://dance-studio.cmsmasters.net/)
23:15:06	65990/65990	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Aug%202016%2020:15:11%20GMT	http://dance-studio.cmsmasters.net/buttons-icons-2/	E:/users/MKURUGENZI%201/Documents/projects/balasi/balasi_dance/dance-studio.cmsmasters.net/buttons-icons-2/index.html	(from http://dance-studio.cmsmasters.net/)
23:15:10	22136/22136	---M--	200	added ('OK')	image/jpeg	etag:%225678-530d5c74634a2%22	http://dance-studio.cmsmasters.net/wp-content/uploads/2015/04/Depositphotos_12337765_original-400x400.jpg	E:/users/MKURUGENZI%201/Documents/projects/balasi/balasi_dance/dance-studio.cmsmasters.net/wp-content/uploads/2015/04/Depositphotos_12337765_original-400x400.jpg	(from http://dance-studio.cmsmasters.net/)
23:15:12	46506/46506	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Aug%202016%2020:15:17%20GMT	http://dance-studio.cmsmasters.net/clients/	E:/users/MKURUGENZI%201/Documents/projects/balasi/balasi_dance/dance-studio.cmsmasters.net/clients/index.html	(from http://dance-studio.cmsmasters.net/)
